barcode,product_name,brands,sugars_100g,fiber_100g,proteins_100g,quantity_grams,sugar_pct_dv,sugar_tier,high_sugar_flag,nutrition_grades,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
7613287514325,Fitness Nature Céréales complètes,"Nestlé, Fitness",8.3,8.5,9.8,475.0,16.6,moderate,0,a,,,0.31923076923076926
7613032779566,chocapic,"Nestlé, Chocapic",19.9,7.7,8.5,1000.0,39.8,high,1,b,Aisle 4B,1044,0.7653846153846153
3168930010890,Quaker Cruesli Chocolat au lait,Quaker,20,8.7,7.7,450.0,40.0,high,1,d,Aisle 2B,889,0.7692307692307693
5010477365316,Oh my crisp ! - Noix,JORDANS,9.5,18,9,400.0,19.0,moderate,0,b, Aisle 3C,793,0.36538461538461536
3421557502446,T&C Muesli croustillant avoine amandes sans gluten,Terres & céréales bio,18,6.9,9,500.0,36.0,high,1,c,Endcap-South,null,0.6923076923076923
3229820794556,"Muesli Proteines Soja, Dattes, Fruits Rouges",Bjorg,10,12,21,375.0,20.0,high,1,a,Endcap-South,0,0.38461538461538464
3387390326574,Céréales Cookie Crisp,"Nestlé, Cookie crisp",22.4,6,6.7,375.0,44.8,high,1,c,Endcap-South,233,0.8615384615384615
3229820797946,Muesli sans sucres ajoutés raisin figue datte abricot,Bjorg,14,10,11,750.0,28.000000000000004,high,1,a,Aisle 4B,625,0.5384615384615385
8402001010873,Muesli Crunchy,Hacendado,3.2,23,8.8,500.0,6.4,moderate,0,a,Aisle 4B,782,0.12307692307692308
5010477356277,Granola Amandes Noisettes & Graines,Jordans,2.5,16.1,12.6,400.0,5.0,moderate,0,a,Aisle 2B,645,0.09615384615384616
5010477354051,Muesli Bio Superfruits,Jordans,10.2,9.4,11.2,450.0,20.4,high,1,a,Endcap-South,1184,0.3923076923076923
3560071407650,Muesli de quinoa y chocolate,"Carrefour BIO, Carrefour",16,6.8,9.1,375.0,32.0,high,1,c, Aisle 3C,629,0.6153846153846154
20621469,Special Flakes Original,Crownfield,8.8,8.1,8.9,500.0,17.6,moderate,0,a,Endcap-South,60,0.3384615384615385
5010477348555,Country Crisp 4 Noix,Jordans,18,6.1,11,850.0,36.0,high,1,c, Aisle 3C,0,0.6923076923076923
